Season,Name,Team,IP,HR/FB,NameASCII,PlayerId,MLBAMID
2021,"Zack Greinke","HOU",168.2,0.16959064,"Zack Greinke",1943,425844
2016,"Albert Suárez","SFG",61,0.16949153,"Albert Suarez",6175,544150
2016,"Logan Verrett","NYM",60,0.16949153,"Logan Verrett",12905,548337
2022,"Tommy Henry","ARI",47,0.16949153,"Tommy Henry",26285,674072
2023,"Ryan Weathers","- - -",46,0.16949153,"Ryan Weathers",23796,677960
2012,"Brett Cecil","TOR",50.1,0.16923077,"Brett Cecil",2660,446399
2015,"Bud Norris","BAL",55.2,0.16923077,"Bud Norris",9492,502032
2021,"Brett Anderson","MIL",96,0.16923077,"Brett Anderson",8223,474463
2021,"Chase De Jong","PIT",43.2,0.16923077,"Chase De Jong",15036,608328
2003,"Ismael Valdez","TEX",115,0.16911765,"Ismael Valdez",1283,123595
2019,"Mike Foltynewicz","ATL",117,0.16911765,"Mike Foltynewicz",10811,592314
2008,"Carlos Villanueva","MIL",49,0.16901408,"Carlos Villanueva",4138,453646
2012,"Alex White","COL",92.2,0.16901408,"Alex White",10054,502229
2023,"Lucas Giolito","- - -",176,0.16894977,"Lucas Giolito",15474,608337
2002,"Shawn Chacon","COL",119.1,0.16891892,"Shawn Chacon",424,276336
2015,"Masahiro Tanaka","NYY",154,0.16891892,"Masahiro Tanaka",15764,547888
2016,"A.J. Griffin","TEX",119,0.1686747,"A.J. Griffin",11132,456167
2017,"Danny Salazar","CLE",97.1,0.1686747,"Danny Salazar",5867,517593
2022,"Elieser Hernández","MIA",46.2,0.1686747,"Elieser Hernandez",16933,622694
2023,"Reese Olson","DET",86,0.1686747,"Reese Olson",24968,681857
2019,"Gerrit Cole","HOU",212.1,0.16860465,"Gerrit Cole",13125,543037
2022,"Germán Márquez","COL",181.2,0.16853933,"German Marquez",15038,608566
2005,"Brett Myers","PHI",215.1,0.16847826,"Brett Myers",962,408206
2009,"Garrett Olson","SEA",52.2,0.16842105,"Garrett Olson",9889,457796
2015,"Rubby De La Rosa","ARI",188.2,0.16842105,"Rubby De La Rosa",3862,523989
2021,"Josiah Gray","- - -",66.2,0.16842105,"Josiah Gray",24580,680686
2022,"Gerrit Cole","NYY",200.2,0.16836735,"Gerrit Cole",13125,543037
2004,"Brandon Webb","ARI",208,0.16831683,"Brandon Webb",1692,425630
2019,"Elieser Hernández","MIA",74.2,0.16831683,"Elieser Hernandez",16933,622694
2019,"Ariel Jurado","TEX",93,0.16831683,"Ariel Jurado",17030,642558
2004,"Chris Capuano","MIL",88.1,0.1682243,"Chris Capuano",1701,425626
2023,"Brandon Pfaadt","ARI",84.1,0.16814159,"Brandon Pfaadt",27782,694297
2021,"Austin Gomber","COL",115.1,0.16806723,"Austin Gomber",16561,596295
2021,"Bailey Ober","MIN",92.1,0.16806723,"Bailey Ober",21224,641927
2016,"Jorge De La Rosa","COL",126,0.16793893,"Jorge De La Rosa",2047,407822
2012,"Nick Blackburn","MIN",98.2,0.16788321,"Nick Blackburn",4270,448147
2021,"Zach Davies","CHC",148,0.16778523,"Zach Davies",13183,605200
2013,"John Danks","CHW",138.1,0.16766467,"John Danks",6329,433579
2002,"Mickey Callaway","ANA",34.1,0.16666667,"Mickey Callaway",7,209068
2002,"Charles Nagy","CLE",29,0.16666667,"Charles Nagy",397,119640
2002,"Jake Westbrook","CLE",21.2,0.16666667,"Jake Westbrook",412,150414
2002,"Kevin Pickford","SDP",17.1,0.16666667,"Kevin Pickford",1473,150260
2003,"Clay Condrey","SDP",30.1,0.16666667,"Clay Condrey",1579,424925
2003,"Cory Vance","COL",16,0.16666667,"Cory Vance",1647,425246
2004,"Aaron Heilman","NYM",28,0.16666667,"Aaron Heilman",1751,408310
2005,"Brian Anderson","KCR",30.2,0.16666667,"Brian Anderson",44,110230
2005,"Seth McClung","TBD",90.2,0.16666667,"Seth McClung",1657,425528
2005,"Sean Henn","NYY",11.1,0.16666667,"Sean Henn",2147,430675
2005,"J.P. Howell","KCR",72.2,0.16666667,"J.P. Howell",8245,434442
2006,"Victor Zambrano","NYM",21.1,0.16666667,"Victor Zambrano",1237,406913
2006,"Lenny DiNardo","BOS",23.2,0.16666667,"Lenny DiNardo",1894,430837
2007,"Esteban Loaiza","- - -",37.1,0.16666667,"Esteban Loaiza",1310,117842
2008,"Jake Westbrook","CLE",34.2,0.16666667,"Jake Westbrook",412,150414
2008,"Matt Morris","PIT",22.1,0.16666667,"Matt Morris",1172,119403
2009,"Mike Burns","MIL",40.2,0.16666667,"Mike Burns",2932,446916
2010,"Brian Tallet","TOR",27.1,0.16666667,"Brian Tallet",1646,425226
2010,"Charlie Haeger","LAD",23,0.16666667,"Charlie Haeger",3545,446624
2010,"Andrew Miller","FLA",27.2,0.16666667,"Andrew Miller",6785,453192
2010,"Lucas Harrell","CHW",14.1,0.16666667,"Lucas Harrell",7541,449173
2011,"Brian Gordon","NYY",10.1,0.16666667,"Brian Gordon",2374,430950
2011,"Brad Mills","TOR",18.1,0.16666667,"Brad Mills",4420,502166
2011,"Luis Perez","TOR",18.2,0.16666667,"Luis Perez",6389,469802
2011,"Jacob Turner","DET",12.2,0.16666667,"Jacob Turner",10185,545363
2012,"Tyler Chatwood","COL",51.2,0.16666667,"Tyler Chatwood",4338,543022
2012,"Daniel Hudson","ARI",45.1,0.16666667,"Daniel Hudson",7146,543339
2012,"Dan Straily","OAK",39.1,0.16666667,"Dan Straily",9460,573185
2012,"Mike Leake","CIN",179,0.16666667,"Mike Leake",10130,502190
2013,"Randall Delgado","ARI",114.1,0.16666667,"Randall Delgado",5985,517414
2013,"Dallas Keuchel","HOU",132.1,0.16666667,"Dallas Keuchel",9434,572971
2014,"Christian Friedrich","COL",13.1,0.16666667,"Christian Friedrich",7942,543184
2014,"Paul Maholm","LAD",43.2,0.16666667,"Paul Maholm",8678,430904
2015,"Jhoulys Chacín","ARI",23.2,0.16666667,"Jhoulys Chacin",2608,468504
2015,"Eric Stults","ATL",44,0.16666667,"Eric Stults",8011,445590
2015,"Tanner Roark","WSN",65.1,0.16666667,"Tanner Roark",8753,543699
2015,"David Hale","COL",68.1,0.16666667,"David Hale",9756,571735
2015,"Matt Barnes","BOS",10.1,0.16666667,"Matt Barnes",12863,598264
2016,"Iván Nova","- - -",148,0.16666667,"Ivan Nova",1994,467100
2017,"Jordan Lyles","SDP",23,0.16666667,"Jordan Lyles",7593,543475
2017,"Justin Nicolino","MIA",32.2,0.16666667,"Justin Nicolino",11754,592593
2017,"Tyler Pill","NYM",16.1,0.16666667,"Tyler Pill",12751,543652
2017,"Hisashi Iwakuma","SEA",31,0.16666667,"Hisashi Iwakuma",13048,547874
2018,"Jason Vargas","NYM",92,0.16666667,"Jason Vargas",8044,450306
2018,"Bryan Mitchell","SDP",56.2,0.16666667,"Bryan Mitchell",11479,571951
2018,"Enyel De Los Santos","PHI",10.2,0.16666667,"Enyel De Los Santos",18403,660853
2019,"Nick Kingham","PIT",15.2,0.16666667,"Nick Kingham",11694,592468
2019,"Jakob Junis","KCR",175.1,0.16666667,"Jakob Junis",13619,596001
2019,"T.J. Zeuch","TOR",13.1,0.16666667,"T.J. Zeuch",19269,643615
2019,"Gregory Soto","DET",23.1,0.16666667,"Gregory Soto",19677,642397
2020,"J.A. Happ","NYY",49.1,0.16666667,"J.A. Happ",7410,457918
2020,"Robbie Erlin","ATL",17.2,0.16666667,"Robbie Erlin",10354,572362
2020,"Zach Eflin","PHI",56.1,0.16666667,"Zach Eflin",13774,621107
2020,"Chi Chi González","COL",13.2,0.16666667,"Chi Chi Gonzalez",14663,592346
2020,"Yonny Chirinos","TBR",11.1,0.16666667,"Yonny Chirinos",16401,630023
2020,"Jordan Montgomery","NYY",44,0.16666667,"Jordan Montgomery",16511,656756
2020,"Justin Dunn","SEA",45.2,0.16666667,"Justin Dunn",19268,643290
2021,"Chris Sale","BOS",42.2,0.16666667,"Chris Sale",10603,519242
2021,"Alex Wells","BAL",37,0.16666667,"Alex Wells",19845,649144
2021,"Aaron Ashby","MIL",11.2,0.16666667,"Aaron Ashby",23550,676879
2022,"Jason Alexander","MIL",56,0.16666667,"Jason Alexander",19666,669920
2022,"Cole Sands","MIN",12.1,0.16666667,"Cole Sands",21461,663485
2023,"Clayton Kershaw","LAD",126.1,0.16666667,"Clayton Kershaw",2036,477132
2023,"John Brebbia","SFG",10.1,0.16666667,"John Brebbia",12777,605154
2023,"Ty Blach","COL",54.1,0.16666667,"Ty Blach",14361,621389
2023,"Shohei Ohtani","LAA",132,0.16666667,"Shohei Ohtani",19755,660271
2023,"Garrett Whitlock","BOS",51.2,0.16666667,"Garrett Whitlock",20191,676477
2023,"Andre Jackson","PIT",23,0.16666667,"Andre Jackson",21298,656578
2023,"Angel Zerpa","KCR",12.2,0.16666667,"Angel Zerpa",22717,672582
2023,"Matt Waldron","SDP",25.2,0.16666667,"Matt Waldron",25550,663362
2023,"Graham Ashcraft","CIN",145.2,0.16666667,"Graham Ashcraft",27552,668933
2012,"Iván Nova","NYY",170.1,0.16568047,"Ivan Nova",1994,467100
2015,"CC Sabathia","NYY",167.1,0.16568047,"CC Sabathia",404,282332
2018,"Félix Hernández","SEA",150,0.1656051,"Felix Hernandez",4772,433587
2018,"Steven Matz","NYM",154,0.16556291,"Steven Matz",13361,571927
2006,"Taylor Buchholz","HOU",106.2,0.16535433,"Taylor Buchholz",2168,430587
2016,"Marcus Stroman","TOR",204,0.16535433,"Marcus Stroman",13431,573186
2003,"Jason Simontacchi","STL",85.1,0.16521739,"Jason Simontacchi",1181,421004
2021,"Sonny Gray","CIN",135.1,0.16521739,"Sonny Gray",12768,543243
2003,"Derek Lowe","BOS",203.1,0.16504854,"Derek Lowe",199,117955
2012,"Liam Hendriks","MIN",85.1,0.16504854,"Liam Hendriks",3548,521230
2019,"Aaron Brooks","- - -",82,0.16504854,"Aaron Brooks",12272,605156
2021,"Martín Pérez","BOS",100,0.16504854,"Martin Perez",6902,527048
2023,"Chase Anderson","COL",76.1,0.16504854,"Chase Anderson",6895,502624
2010,"Manny Parra","MIL",84.1,0.16494845,"Manny Parra",4279,448159
2006,"Kyle Davies","ATL",63.1,0.16470588,"Kyle Davies",3642,434678
2019,"Glenn Sparkman","KCR",118.1,0.16470588,"Glenn Sparkman",15200,642098
2022,"Charlie Morton","ATL",172,0.16470588,"Charlie Morton",4676,450203
2002,"John Stephens","BAL",64,0.16455696,"John Stephens",1569,407856
2003,"Scott Elarton","COL",50.2,0.16455696,"Scott Elarton",426,134003
2006,"Randy Wolf","PHI",56.2,0.16455696,"Randy Wolf",976,150116
2018,"Domingo Germán","NYY",68.1,0.16455696,"Domingo German",17149,593334
2021,"Taylor Widener","ARI",61,0.16455696,"Taylor Widener",19266,642203
2022,"Mike Minor","CIN",98,0.16438356,"Mike Minor",10021,501985
2006,"Félix Hernández","SEA",191,0.16428571,"Felix Hernandez",4772,433587
2003,"Ruben Quevedo","MIL",41.1,0.1641791,"Ruben Quevedo",705,275935
2023,"Brayan Bello","BOS",151,0.1641791,"Brayan Bello",23920,678394
2016,"Dallas Keuchel","HOU",168,0.16393443,"Dallas Keuchel",9434,572971
2016,"Jake Thompson","PHI",53.2,0.16393443,"Jake Thompson",14371,622097
2020,"Jordan Lyles","TEX",43.2,0.16393443,"Jordan Lyles",7593,543475
2021,"Kyle Freeland","COL",120.2,0.16393443,"Kyle Freeland",16256,607536
2019,"Dylan Bundy","BAL",161.2,0.16384181,"Dylan Bundy",12917,605164
2015,"Chris Rusin","COL",125,0.1637931,"Chris Rusin",9895,543734
2018,"Francisco Liriano","DET",131.2,0.1637931,"Francisco Liriano",3201,434538
2021,"Ross Stripling","TOR",86.1,0.1637931,"Ross Stripling",13273,548389
2017,"Carlos Martinez","STL",205,0.16363636,"Carlos Martinez",11682,593372
2020,"Masahiro Tanaka","NYY",48,0.16363636,"Masahiro Tanaka",15764,547888
2014,"Brandon McCarthy","- - -",200,0.16339869,"Brandon McCarthy",4662,435221
2008,"Josh Fogg","CIN",62.1,0.16326531,"Josh Fogg",989,150319
2013,"Josh Beckett","LAD",43.1,0.16326531,"Josh Beckett",510,277417
2014,"Joe Saunders","TEX",39.2,0.16326531,"Joe Saunders",4366,434578
2015,"Alec Asher","PHI",29,0.16326531,"Alec Asher",13560,594742
2017,"Travis Wood","- - -",65.1,0.16326531,"Travis Wood",9884,475243
2023,"Patrick Corbin","WSN",175.1,0.16326531,"Patrick Corbin",9323,571578
2006,"Carlos Silva","MIN",173.1,0.16309013,"Carlos Silva",973,400067
2012,"Matt Garza","CHC",103.2,0.16304348,"Matt Garza",3340,490063
2013,"Jerome Williams","LAA",138.2,0.16296296,"Jerome Williams",1137,425532
2005,"Javier Vazquez","ARI",215.2,0.1627907,"Javier Vazquez",801,134320
2006,"Scott Mathieson","PHI",32.2,0.1627907,"Scott Mathieson",4771,455949
2016,"Carlos Carrasco","CLE",146.1,0.1627907,"Carlos Carrasco",6632,471911
2018,"Andrew Triggs","OAK",41.1,0.1627907,"Andrew Triggs",13533,592811
2018,"Jefry Rodriguez","WSN",38.2,0.1627907,"Jefry Rodriguez",17018,622446
2023,"Tanner Houck","BOS",97,0.1625,"Tanner Houck",19879,656557
2018,"Jakob Junis","KCR",177,0.16243655,"Jakob Junis",13619,596001
2016,"Wade Miley","- - -",166,0.16233766,"Wade Miley",8779,489119
2017,"Trevor Bauer","CLE",175.2,0.16233766,"Trevor Bauer",12703,545333
2003,"Joaquín Benoit","TEX",82.2,0.16216216,"Joaquin Benoit",1437,276542
2004,"Sergio Mitre","CHC",47,0.16216216,"Sergio Mitre",1773,429901
2008,"Shawn Estes","SDP",42,0.16216216,"Shawn Estes",873,113915
2009,"Sean O'Sullivan","LAA",48.2,0.16216216,"Sean O'Sullivan",9137,457711
2012,"Brad Lincoln","PIT",23.2,0.16216216,"Brad Lincoln",4241,453184
2014,"Tony Cingrani","CIN",59.2,0.16216216,"Tony Cingrani",12555,571561
2016,"Chris Archer","TBR",201.1,0.16216216,"Chris Archer",6345,502042
2016,"José Berríos","MIN",58.1,0.16216216,"Jose Berrios",14168,621244
2018,"Jaime García","- - -",61.2,0.16216216,"Jaime Garcia",8137,448802
2019,"Tommy Milone","SEA",31,0.16216216,"Tommy Milone",7608,543548
2019,"Stephen Strasburg","WSN",209,0.16216216,"Stephen Strasburg",10131,544931
2021,"Casey Mize","DET",150.1,0.16216216,"Casey Mize",20492,663554
2021,"Jackson Kowar","KCR",27.1,0.16216216,"Jackson Kowar",21549,663804
2022,"Tylor Megill","NYM",41.1,0.16216216,"Tylor Megill",21318,656731
2022,"Luis Patiño","TBR",20,0.16216216,"Luis Patino",22815,672715
2019,"Anthony DeSclafani","CIN",166.2,0.16201117,"Anthony DeSclafani",13050,543101
2021,"Joe Ross","WSN",103,0.16190476,"Joe Ross",12972,605452
2002,"Brian Powell","DET",49.1,0.16176471,"Brian Powell",490,150064
2004,"Jason Marquis","STL",201.1,0.16149068,"Jason Marquis",105,150302
2004,"Brett Myers","PHI",175,0.16145833,"Brett Myers",962,408206
2019,"Shane Bieber","CLE",212.1,0.16145833,"Shane Bieber",19427,669456
2008,"Brandon Backe","HOU",166.2,0.16143498,"Brandon Backe",1529,407840
2006,"Kerry Wood","CHC",19.2,0.16129032,"Kerry Wood",304,134268
2010,"Ross Detwiler","WSN",23.2,0.16129032,"Ross Detwiler",2859,446321
2011,"Zach Stewart","- - -",63,0.16129032,"Zach Stewart",7397,543819
2012,"Kyle Drabek","TOR",71.1,0.16129032,"Kyle Drabek",4359,475138
2018,"Adrian Sampson","TEX",22.2,0.16129032,"Adrian Sampson",13339,592716
2018,"Hector Velázquez","BOS",30.1,0.16129032,"Hector Velazquez",19341,584171
2019,"Aaron Sanchez","- - -",131.1,0.16129032,"Aaron Sanchez",11490,592717
2021,"Reid Detmers","LAA",20.2,0.16129032,"Reid Detmers",27468,672282
2022,"Max Castillo","- - -",26,0.16129032,"Max Castillo",21956,666721
2023,"Tyler Mahle","MIN",25.2,0.16129032,"Tyler Mahle",16358,641816
2003,"Mike Maroth","DET",193.1,0.16113744,"Mike Maroth",1508,400077
2022,"Hunter Greene","CIN",125.2,0.16107383,"Hunter Greene",22182,668881
2023,"Julio Urías","LAD",117.1,0.16107383,"Julio Urias",14765,628711
2012,"Philip Humber","CHW",88,0.16101695,"Philip Humber",8586,458950
2003,"Dan Wright","CHW",69.2,0.16091954,"Dan Wright",258,216106
2012,"Aaron Laffey","TOR",86,0.16091954,"Aaron Laffey",6248,444836
2017,"Jacob deGrom","NYM",201.1,0.16091954,"Jacob deGrom",10954,594798
2003,"Dewon Brazelton","TBD",48.1,0.16071429,"Dewon Brazelton",1195,407376
2003,"Josh Towers","TOR",52.2,0.16071429,"Josh Towers",1489,346869
2006,"Kyle Snyder","- - -",49,0.16071429,"Kyle Snyder",1689,216897
2015,"Travis Wood","CHC",42.2,0.16071429,"Travis Wood",9884,475243
2019,"Miles Mikolas","STL",184,0.16071429,"Miles Mikolas",9803,571945
2023,"Javier Assad","CHC",53.2,0.16071429,"Javier Assad",21741,665871
2016,"Adam Morgan","PHI",109.2,0.16058394,"Adam Morgan",12580,605388
2011,"Rodrigo Lopez","CHC",88,0.16037736,"Rodrigo Lopez",150,150438
2013,"Lucas Harrell","HOU",114.1,0.16037736,"Lucas Harrell",7541,449173
2015,"Aníbal Sánchez","DET",157,0.16022099,"Anibal Sanchez",3284,434671
2002,"Travis Harper","TBD",31.1,0.16,"Travis Harper",1211,150135
2003,"Randy Johnson","ARI",114,0.16,"Randy Johnson",60,116615
2005,"Randy Keisler","CIN",18.1,0.16,"Randy Keisler",830,342892
2007,"Scott Elarton","KCR",37,0.16,"Scott Elarton",426,134003
2007,"Mike Maroth","- - -",109.1,0.16,"Mike Maroth",1508,400077
2009,"Mark Hendrickson","BAL",50,0.16,"Mark Hendrickson",1574,424805
2009,"Jeff Manship","MIN",21,0.16,"Jeff Manship",6865,453249
2016,"Mike Wright Jr.","BAL",63.2,0.16,"Mike Wright Jr.",12586,605541
2016,"John Gant","ATL",30,0.16,"John Gant",13684,607231
2017,"Chad Bettis","COL",46.1,0.16,"Chad Bettis",10587,518452
2018,"Héctor Santiago","CHW",32.1,0.16,"Hector Santiago",4026,502327
2018,"Dillon Peters","MIA",24.2,0.16,"Dillon Peters",18790,596071
2019,"Justin Verlander","HOU",223,0.16,"Justin Verlander",8700,434378
2020,"Mitch Keller","PIT",21.2,0.16,"Mitch Keller",17594,656605
2020,"Taylor Clarke","ARI",23,0.16,"Taylor Clarke",17611,664199
2020,"Thomas Eshelman","BAL",14.2,0.16,"Thomas Eshelman",18361,664045
2021,"Jack Flaherty","STL",76.1,0.16,"Jack Flaherty",17479,656427
2005,"Oliver Pérez","PIT",103,0.15972222,"Oliver Perez",1514,424144
2002,"Carl Pavano","- - -",114.2,0.15966387,"Carl Pavano",790,134321
2021,"Trevor Bauer","LAD",107.2,0.15966387,"Trevor Bauer",12703,545333
2021,"Bryse Wilson","- - -",74,0.15957447,"Bryse Wilson",19990,669060
2016,"Juan Nicasio","PIT",62.1,0.15942029,"Juan Nicasio",7731,504379
2020,"Cristian Javier","HOU",51.1,0.15942029,"Cristian Javier",17606,664299
2021,"Robbie Ray","TOR",193.1,0.15942029,"Robbie Ray",11486,592662
2005,"Tim Redding","- - -",25.1,0.15909091,"Tim Redding",573,400062
2009,"Justin Lehr","CIN",65.1,0.15909091,"Justin Lehr",2163,430680
2012,"Dallas Keuchel","HOU",85.1,0.15909091,"Dallas Keuchel",9434,572971
2021,"Germán Márquez","COL",180,0.15909091,"German Marquez",15038,608566
2017,"Gerrit Cole","PIT",203,0.15897436,"Gerrit Cole",13125,543037
2012,"Felix Doubront","BOS",161,0.1589404,"Felix Doubront",1478,467094
2018,"Nick Pivetta","PHI",163,0.1589404,"Nick Pivetta",15454,601713
2018,"Chad Bettis","COL",109,0.1588785,"Chad Bettis",10587,518452
2004,"Nate Robertson","DET",190.2,0.15873016,"Nate Robertson",1620,425146
2005,"Tim Hudson","ATL",192,0.15873016,"Tim Hudson",921,218596
2011,"Bronson Arroyo","CIN",199,0.15862069,"Bronson Arroyo",978,276520
2017,"Clayton Kershaw","LAD",175,0.15862069,"Clayton Kershaw",2036,477132
2009,"Bartolo Colon","CHW",62.1,0.15853659,"Bartolo Colon",375,112526
2017,"Iván Nova","PIT",187,0.15846995,"Ivan Nova",1994,467100
2021,"Zac Gallen","ARI",121.1,0.15833333,"Zac Gallen",19291,668678
2021,"Jon Lester","- - -",141.1,0.15822785,"Jon Lester",4930,452657
2003,"Rick Helling","BAL",138.2,0.15789474,"Rick Helling",58,115727
2003,"Mario Ramos","TEX",13,0.15789474,"Mario Ramos",1272,407398
2004,"Joaquín Benoit","TEX",75.1,0.15789474,"Joaquin Benoit",1437,276542
2006,"Mark Prior","CHC",43.2,0.15789474,"Mark Prior",301,407578
2007,"Troy Patton","HOU",11.2,0.15789474,"Troy Patton",8368,461856
2008,"Steve Trachsel","BAL",33.2,0.15789474,"Steve Trachsel",898,123431
2008,"Freddy Garcia","DET",15,0.15789474,"Freddy Garcia",1077,150119
2008,"Jeff Bennett","ATL",16.2,0.15789474,"Jeff Bennett",1903,430831
2008,"Brad Hennessey","SFG",23,0.15789474,"Brad Hennessey",3720,430913
2009,"Braden Looper","MIL",194.2,0.15789474,"Braden Looper",526,131702
2009,"Chien-Ming Wang","NYY",34,0.15789474,"Chien-Ming Wang",2074,425426
2010,"Jorge De La Rosa","COL",121.2,0.15789474,"Jorge De La Rosa",2047,407822
2010,"Matt Harrison","TEX",34,0.15789474,"Matt Harrison",5551,457448
2010,"Carlos Carrasco","CLE",44.2,0.15789474,"Carlos Carrasco",6632,471911
2011,"Charlie Furbush","- - -",59.1,0.15789474,"Charlie Furbush",1370,518703
2011,"Ross Ohlendorf","PIT",38.2,0.15789474,"Ross Ohlendorf",8268,456027
2015,"David Buchanan","PHI",74.2,0.15789474,"David Buchanan",11176,571527
2017,"Dillon Peters","MIA",31.1,0.15789474,"Dillon Peters",18790,596071
2019,"Iván Nova","CHW",187,0.15789474,"Ivan Nova",1994,467100
2019,"Zach Eflin","PHI",157.2,0.15789474,"Zach Eflin",13774,621107
2019,"Shaun Anderson","SFG",82.2,0.15789474,"Shaun Anderson",19453,641312
2020,"Kyle Freeland","COL",70.2,0.15789474,"Kyle Freeland",16256,607536
2020,"JT Brubaker","PIT",42.1,0.15789474,"JT Brubaker",17578,664141
2020,"Cody Ponce","PIT",13.2,0.15789474,"Cody Ponce",17920,664074
2020,"Ljay Newsome","SEA",12.2,0.15789474,"Ljay Newsome",19942,664714
2021,"Daniel Castano","MIA",17.1,0.15789474,"Daniel Castano",19805,641447
2021,"Griffin Jax","MIN",69.1,0.15789474,"Griffin Jax",20253,643377
2021,"Jonathan Heasley","KCR",14.2,0.15789474,"Jonathan Heasley",22224,669169
2023,"Jackson Rutledge","WSN",10,0.15789474,"Jackson Rutledge",26215,671131
2023,"Karl Kauffmann","COL",12.2,0.15789474,"Karl Kauffmann",27488,666154
2017,"Jon Lester","CHC",180.2,0.15757576,"Jon Lester",4930,452657
2015,"Michael Lorenzen","CIN",105.2,0.15740741,"Michael Lorenzen",14843,547179
2016,"Aníbal Sánchez","DET",138.2,0.15730337,"Anibal Sanchez",3284,434671
2016,"Aaron Blair","ATL",70,0.15730337,"Aaron Blair",14934,594760
2018,"Jordan Zimmermann","DET",131.1,0.15730337,"Jordan Zimmermann",4505,519455
2002,"Brett Myers","PHI",72,0.15714286,"Brett Myers",962,408206
2020,"Aníbal Sánchez","WSN",53,0.15714286,"Anibal Sanchez",3284,434671
2020,"Aaron Civale","CLE",74,0.15714286,"Aaron Civale",19479,650644
2008,"Jeff Suppan","MIL",177.2,0.15706806,"Jeff Suppan",633,122987
2022,"Shane McClanahan","TBR",166.1,0.15702479,"Shane McClanahan",21483,663556
2023,"Griffin Canning","LAA",114,0.15702479,"Griffin Canning",19867,656288
2002,"Denny Stark","COL",113.1,0.15686275,"Denny Stark",452,150128
2015,"Sean O'Sullivan","PHI",71,0.15686275,"Sean O'Sullivan",9137,457711
2016,"Matt Cain","SFG",83.2,0.15686275,"Matt Cain",4732,430912
2016,"Mike Clevinger","CLE",41,0.15686275,"Mike Clevinger",12808,605182
2017,"Vance Worley","MIA",52.1,0.15686275,"Vance Worley",6435,474699
2017,"Austin Pruitt","TBR",43,0.15686275,"Austin Pruitt",15290,643493
2018,"Germán Márquez","COL",196,0.15686275,"German Marquez",15038,608566
2018,"Pablo López","MIA",58.2,0.15686275,"Pablo Lopez",17085,641154
2023,"Dakota Hudson","STL",60,0.15686275,"Dakota Hudson",19206,641712
2023,"Connor Seabold","COL",59,0.15686275,"Connor Seabold",19695,657756
2008,"Brett Myers","PHI",190,0.15675676,"Brett Myers",962,408206
2017,"Ian Kennedy","KCR",154,0.15668203,"Ian Kennedy",6986,453178
2009,"Clay Buchholz","BOS",92,0.15662651,"Clay Buchholz",3543,453329
2004,"Jose Contreras","- - -",170.1,0.15656566,"Jose Contreras",1660,425747
2018,"Stephen Strasburg","WSN",130,0.15652174,"Stephen Strasburg",10131,544931
2021,"Garrett Richards","BOS",110.1,0.15652174,"Garrett Richards",9784,572070
2017,"Robbie Ray","ARI",162,0.15646259,"Robbie Ray",11486,592662
2019,"Martín Pérez","MIN",157,0.15646259,"Martin Perez",6902,527048
2019,"Masahiro Tanaka","NYY",179,0.15642458,"Masahiro Tanaka",15764,547888
2019,"Caleb Smith","MIA",153.1,0.1563981,"Caleb Smith",14875,592761
2004,"Jose Acevedo","CIN",140.2,0.15625,"Jose Acevedo",307,406895
2012,"Joe Wieland","SDP",27.2,0.15625,"Joe Wieland",6109,543921
2017,"Ricky Nolasco","LAA",181,0.15625,"Ricky Nolasco",3830,445060
2018,"Drew Pomeranz","BOS",51.1,0.15625,"Drew Pomeranz",11426,519141
2018,"Daniel Gossett","OAK",24.1,0.15625,"Daniel Gossett",16164,605254
2019,"Dario Agrazal","PIT",71.1,0.15625,"Dario Agrazal",15821,642607
2020,"Dakota Hudson","STL",39,0.15625,"Dakota Hudson",19206,641712
2022,"Daniel Castano","MIA",31.2,0.15625,"Daniel Castano",19805,641447
2023,"Logan Webb","SFG",207,0.15625,"Logan Webb",17995,657277
2023,"Tyler Wells","BAL",108.2,0.15625,"Tyler Wells",20000,669330
2023,"Edward Cabrera","MIA",82.1,0.15625,"Edward Cabrera",21690,665795
2012,"Derek Holland","TEX",171.2,0.15609756,"Derek Holland",4141,502706
2022,"Patrick Corbin","WSN",152.2,0.15606936,"Patrick Corbin",9323,571578
2005,"Ramon Ortiz","CIN",171.1,0.1559633,"Ramon Ortiz",27,150009
2011,"Rich Harden","OAK",82.2,0.1559633,"Rich Harden",1772,425848
2017,"Luis Perdomo","SDP",163.2,0.1559633,"Luis Perdomo",14682,606131
2010,"Carlos Monasterios","LAD",53.1,0.15584416,"Carlos Monasterios",2506,467856
2013,"Brandon Morrow","TOR",54.1,0.15584416,"Brandon Morrow",9346,453344
2021,"José Ureña","DET",83,0.15584416,"Jose Urena",11589,570632
2021,"Kyle Hendricks","CHC",181,0.15577889,"Kyle Hendricks",12049,543294
2023,"Aaron Nola","PHI",187,0.15577889,"Aaron Nola",16149,605400
2008,"Pedro Martinez","NYM",109,0.1557377,"Pedro Martinez",200,118377
2023,"Yusei Kikuchi","TOR",158.2,0.15568862,"Yusei Kikuchi",20633,579328
2002,"Ramon Ortiz","ANA",217.1,0.15564202,"Ramon Ortiz",27,150009
2003,"John Bale","CIN",44.1,0.15555556,"John Bale",864,150469
2009,"Gio González","OAK",89,0.15555556,"Gio Gonzalez",7448,461829
2017,"Jake Odorizzi","TBR",143.1,0.15544041,"Jake Odorizzi",6397,543606
