Season,Name,Team,IP,HR/FB,NameASCII,PlayerId,MLBAMID
2007,"Mike Wood","TEX",19.1,0.27777778,"Mike Wood",1806,430061
2023,"Kyle Wright","ATL",25.2,0.27777778,"Kyle Wright",19665,657140
2023,"Alec Marsh","KCR",35.1,0.27659574,"Alec Marsh",27451,679525
2020,"Brandon Bielak","HOU",21.2,0.27586207,"Brandon Bielak",19866,656232
2003,"Terry Mulholland","CLE",17.2,0.27272727,"Terry Mulholland",665,119488
2004,"Nelson Figueroa","PIT",12,0.27272727,"Nelson Figueroa",683,150153
2005,"Matt Belisle","CIN",24,0.27272727,"Matt Belisle",1837,279571
2008,"Gio González","OAK",28,0.27272727,"Gio Gonzalez",7448,461829
2009,"Carlos Carrasco","CLE",22.1,0.27272727,"Carlos Carrasco",6632,471911
2011,"Garrett Richards","LAA",10.2,0.27272727,"Garrett Richards",9784,572070
2016,"Robbie Erlin","SDP",12,0.27272727,"Robbie Erlin",10354,572362
2016,"Chad Green","NYY",36.1,0.27272727,"Chad Green",15552,643338
2017,"Steven Wright","BOS",24,0.27272727,"Steven Wright",8185,453214
2018,"Kendall Graveman","OAK",34.1,0.27272727,"Kendall Graveman",15514,608665
2019,"Kohl Stewart","MIN",12,0.27272727,"Kohl Stewart",15502,640464
2019,"Andrew Suárez","SFG",10,0.27272727,"Andrew Suarez",18300,605498
2020,"Gio González","CHW",17.1,0.27272727,"Gio Gonzalez",7448,461829
2021,"Edward Cabrera","MIA",26.1,0.27272727,"Edward Cabrera",21690,665795
2023,"José Ureña","- - -",34.2,0.27272727,"Jose Urena",11589,570632
2006,"Glendon Rusch","CHC",37.2,0.27118644,"Glendon Rusch",707,121556
2011,"Anthony Vasquez","SEA",29.1,0.27083333,"Anthony Vasquez",6577,457786
2016,"Chris Young","KCR",56,0.27083333,"Chris Young",3196,432934
2023,"Nick Lodolo","CIN",34.1,0.27027027,"Nick Lodolo",26378,666157
2019,"Thomas Eshelman","BAL",18.1,0.26923077,"Thomas Eshelman",18361,664045
2020,"Patrick Sandoval","LAA",25.1,0.26923077,"Patrick Sandoval",19447,663776
2023,"Quinn Priester","PIT",28.2,0.26923077,"Quinn Priester",25977,682990
2019,"Derek Holland","- - -",36.2,0.26829268,"Derek Holland",4141,502706
2002,"Josh Towers","BAL",19.1,0.26666667,"Josh Towers",1489,346869
2004,"Sean Douglass","TOR",13,0.26666667,"Sean Douglass",133,346868
2015,"Kyle Ryan","DET",30.2,0.26666667,"Kyle Ryan",11753,594986
2018,"John Lamb","LAA",10,0.26666667,"John Lamb",8493,543424
2018,"Cody Reed","CIN",31.1,0.26666667,"Cody Reed",15232,642003
2019,"Conner Menez","SFG",12.2,0.26666667,"Conner Menez",19199,669214
2020,"Kyle Gibson","TEX",67.1,0.26666667,"Kyle Gibson",10123,502043
2021,"Mitch White","LAD",16,0.26666667,"Mitch White",19225,669952
2003,"Chris Reitsma","CIN",17.1,0.26315789,"Chris Reitsma",348,277410
2020,"Erick Fedde","WSN",40,0.26315789,"Erick Fedde",17425,607200
2014,"Iván Nova","NYY",20.2,0.26086957,"Ivan Nova",1994,467100
2017,"Jackson Stephens","CIN",18.2,0.26086957,"Jackson Stephens",14420,623451
2020,"Carlos Martinez","STL",20,0.26086957,"Carlos Martinez",11682,593372
2013,"Clayton Richard","SDP",50.2,0.26,"Clayton Richard",3551,453385
2013,"Brett Myers","CLE",16,0.25925926,"Brett Myers",962,408206
2023,"Chase Silseth","LAA",33,0.25925926,"Chase Silseth",30074,681217
2013,"Alfredo Figaro","MIL",25,0.25806452,"Alfredo Figaro",8404,451628
2002,"Steve Smyth","CHC",24,0.25714286,"Steve Smyth",1577,407790
2016,"Raúl Alcántara","OAK",22.1,0.25714286,"Raul Alcantara",12790,593417
2014,"Wandy Rodriguez","PIT",26.2,0.25641026,"Wandy Rodriguez",2586,434643
2019,"Nathan Eovaldi","BOS",54.1,0.25423729,"Nathan Eovaldi",9132,543135
2008,"Dennis Sarfate","BAL",15.2,0.25,"Dennis Sarfate",2174,430610
2010,"Sergio Mitre","NYY",13.2,0.25,"Sergio Mitre",1773,429901
2011,"Mitch Atkins","BAL",10.2,0.25,"Mitch Atkins",8369,444444
2012,"Josh Outman","COL",26.1,0.25,"Josh Outman",4004,489189
2012,"Collin McHugh","NYM",16.1,0.25,"Collin McHugh",7531,543521
2012,"Kyle Weiland","HOU",17.2,0.25,"Kyle Weiland",7874,475095
2013,"Kevin Gausman","BAL",24.2,0.25,"Kevin Gausman",14107,592332
2015,"Scott Baker","LAD",11,0.25,"Scott Baker",6176,435044
2016,"Jeff Hoffman","COL",27.1,0.25,"Jeff Hoffman",17432,656546
2017,"Dillon Gee","- - -",16,0.25,"Dillon Gee",7396,518716
